Phase,Task ID,Task,Sub-task,Owner,Consumer/Collaborator,Deliverable,Target Week,Status,Notes
Phase 0: Pilot Preparation,0.1,Assess Pilot Clusters,,DevOps Architect,,Assessment report per cluster,W1-2,Not Started,
Phase 0: Pilot Preparation,0.1.1,,Run pre-migration assessment on both clusters (az aks show - K8s version / network plugin / existing pools / VM sizes / zone support),DevOps Architect,Cloud Ops,Cluster assessment report,W1,Not Started,Use az aks show + az aks nodepool list
Phase 0: Pilot Preparation,0.1.2,,Verify spot VM SKU availability in pilot region (az vm list-skus),DevOps Architect,,Available SKU list per region,W1,Not Started,Check D4s_v5 / E4s_v5 / E8s_v5 / D8s_v5 / F8s_v2
Phase 0: Pilot Preparation,0.1.3,,Check vCPU quotas in subscription for spot families (az vm list-usage),DevOps Architect,,Quota sufficiency confirmation,W1,Not Started,Spot quota is separate from on-demand
Phase 0: Pilot Preparation,0.1.4,,Identify workloads on 2 clusters - classify stateless (spot-eligible) vs stateful (on-demand only),DevOps Architect,App Team,Workload classification matrix,W1,Not Started,kubectl get deployments/statefulsets across namespaces
Phase 0: Pilot Preparation,0.2,Produce Cloud Ops Migration Runbook (az CLI),,DevOps Architect,Cloud Ops,runbooks/cloudops-migration-kit/,W1-2,Not Started,All scripts must be az CLI native - no Terraform
Phase 0: Pilot Preparation,0.2.1,,Write parameterized az aks nodepool add script for spot pools (configurable VM family / zone / pool name / min-max count),DevOps Architect,Cloud Ops,scripts/add-spot-pools.sh,W1,Not Started,Must follow .env config pattern
Phase 0: Pilot Preparation,0.2.2,,Write az aks update script for autoscaler profile (priority expander / scan_interval=20s / scale_down_unready=3m),DevOps Architect,Cloud Ops,scripts/update-autoscaler-profile.sh,W1,Not Started,Autoscaler profile is cluster-wide setting
Phase 0: Pilot Preparation,0.2.3,,Write priority expander ConfigMap deployment script (kubectl apply),DevOps Architect,Cloud Ops,scripts/deploy-priority-expander.sh,W1,Not Started,Based on existing priority-expander.tf template
Phase 0: Pilot Preparation,0.2.4,,Write validation script - confirm pools healthy / nodes Ready / autoscaler config correct / labels applied,DevOps Architect,Cloud Ops,scripts/validate-spot-setup.sh,W2,Not Started,Exit codes for pass/fail automation
